Carimbo de data/hora	Gênero	Idade	Morador de Ubatã?	Quanto você gasta em uma saída em Ubatã?  Desconsidere o almoço para essa e outras respostas. 	Durante o período de um mês, qual o local que você mais vai na cidade?	Você considera o lazer ofertado por esses locais adequado?	Dentro dos listados abaixo, qual fator você considera como principal para escolher um local para sair?	Você estaria disposto a pagar um preço mais caro em um produto por um local de saída mais agradável?	Se sim, até quanto?	Descreva as coisas que você mais gostaria que melhorasse no serviço de comida em Ubatã	Descreva as coisas que você mais gosta nos serviços de comida em Ubatã	O que você espera de um local para sair?	Você considera ser divertido sair para comer em Ubatã?	De uma forma geral, o quão você está satisfeito com os serviços de comida prestados na cidade de Ubatã?
2019/12/05 4:25:49 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 15 e 20 reais	Bom, aqui tem poucas opções. Geralmente vou ao hambúrguer do Alex, Pizzaria Samarino, Pizzaria 2 irmãos.	Não	Atendimento	Sim	Até 10 reais mais caro	Primeiramente gostaria de possuir mais opções. Gostaria que os que já temos melhorassem seu atendimento, produto e infraestrutura. Não tem locais aconchegantes para sairmos com os amigos e passar a noite por lá.	Nada específico. Mas dos que eu vou gosto do atendimento.	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Não	6
2019/12/05 4:33:33 PM GMT-3	Feminino	Acima de 40 anos	SIm	Entre 5 e 10 reais	Sorveterias 	Não	Preço	Sim	Até 10 reais mais caro	Local 	Nem uma 	Variedade de produto	Não	3
2019/12/05 4:37:05 PM GMT-3	Feminino	18 a 24 anos	SIm	Acima de 20 reais	Posto Samarino 	Não	Comida	Sim	Até 15 reais mais caro	Diversidade de comidas 	Nada rsrsrs	Ambiente confortável e tranquilo	Não	4
2019/12/05 4:45:17 PM GMT-3	Masculino	15 a 18 anos	SIm	Entre 15 e 20 reais	Tô no açaí 	Não	Custo / Benefício	Sim	Até 10 reais mais caro	Aumentar a lista de opções das comidas, e melhores localizações 	Bom e barato 	Ambiente confortável e tranquilo;Variedade de produto;Conforto	Não	6
2019/12/05 4:59:54 PM GMT-3	Feminino	15 a 18 anos	SIm	Entre 5 e 10 reais	Praça	Não	Custo / Benefício	Sim	Até 5 reais mais caro	A variedade de produtos e delivery	Atendimento rápido	Variedade de produto	Não	5
2019/12/05 5:06:47 PM GMT-3	Feminino	24 a 40 anos	SIm		Igreja 	Não	Espaço agradável	Sim	Até 15 reais mais caro	Mais opções de lugares	O sabor	Variedade de produto	Sim	7
2019/12/05 5:49:21 PM GMT-3	Masculino	24 a 40 anos	SIm	Entre 5 e 10 reais	Praça e Acarajé	Não	Custo / Benefício	Não		Atendimento e variedade 	Preço e qualidade	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto	Não	6
2019/12/05 5:51:34 PM GMT-3	Masculino	24 a 40 anos	Não	Até 5 reais	Minha casa	Não	Espaço agradável	Sim	Acima de 15 reais mais caro	Tudo	Nada	Ambiente confortável e tranquilo;Atendimento rápido;Variedade de produto;Conforto	Não	1
2019/12/05 6:25:08 PM GMT-3	Masculino	15 a 18 anos	SIm	Entre 5 e 10 reais	Praça Rui barbosa e quadra do colegio modelo	Não	Espaço agradável	Sim	Até 15 reais mais caro	Qualidade, preço e variedade	O carisma dos vendedores	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto	Sim	7
2019/12/05 6:33:39 PM GMT-3	Feminino	15 a 18 anos	SIm	Acima de 20 reais	Pizzaria Fornalha, Boteco do Pedrão	Considerando a realidade da cidade, sim.	Espaço agradável	Sim	Acima de 15 reais mais caro	atendimento, higiene etc.	comida kkkk	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Não	7
2019/12/05 6:36:05 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 15 e 20 reais	Paradinha 	Considerando a realidade da cidade, sim.	Atendimento	Sim	Até 15 reais mais caro	Atendimento, opções de variedade	Preço	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Não	5
2019/12/05 6:46:17 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 10 e 15 reais			Espaço agradável	Sim	Até 15 reais mais caro			Ambiente confortável e tranquilo	Não	5
2019/12/05 7:14:51 PM GMT-3	Feminino	Acima de 40 anos	SIm	Entre 15 e 20 reais	Clube.	Sim	Custo / Benefício	Não		Tipos variados de frutas, verduras, grãos.A	As carnes  , aves  frescos.	Variedade de produto	Sim	8
2019/12/05 7:34:45 PM GMT-3	Feminino	Acima de 40 anos	SIm	Entre 10 e 15 reais	Tapiocaria	Não	Custo / Benefício	Sim	Até 10 reais mais caro	O ambiente.	O preço.	Ambiente confortável e tranquilo;Preço de acordo ao local	Sim	7
2019/12/05 7:47:06 PM GMT-3	Masculino	24 a 40 anos	SIm	Acima de 20 reais	Posto Samarino.	Considerando a realidade da cidade, sim.	Comida	Sim	Acima de 15 reais mais caro	O cardápio e a demora na entrega dos pratos .	A qualidade.		Não	7
2019/12/05 7:53:55 PM GMT-3	Masculino	24 a 40 anos	SIm	Acima de 20 reais	Bar do acaraje	Não	Custo / Benefício	Sim	Até 5 reais mais caro	Higiene	Atendimento	Preço de acordo ao local	Não	7
2019/12/05 7:55:17 PM GMT-3	Masculino	24 a 40 anos	SIm	Acima de 20 reais	Bares	Não	Custo / Benefício	Sim	Até 10 reais mais caro	Nada	 Nada	Atendimento rápido	Não	5
2019/12/05 8:05:10 PM GMT-3	Feminino	Acima de 40 anos	SIm	Entre 15 e 20 reais	Supermercado 	Não	Custo / Benefício	Sim	Acima de 15 reais mais caro	Variedades, qualidade, preço 	Nada	Ambiente confortável e tranquilo;Preço de acordo ao local;Variedade de produto;Conforto	Não	3
2019/12/05 8:18:19 PM GMT-3	Feminino	Acima de 40 anos	Não	Acima de 20 reais	Restaurante	Não	Custo / Benefício	Sim	Acima de 15 reais mais caro	Comidas mais leves lights	Nenhum	Ambiente confortável e tranquilo	Não	5
2019/12/05 9:28:10 PM GMT-3	Masculino	Acima de 40 anos	SIm	Entre 15 e 20 reais	Praça Rui Barbosa	Não	Espaço agradável	Sim	Até 10 reais mais caro	A OFERTA DESSES LOCAIS É MIITO POUCA EM UBATA, EU VEJO APENAS DOIS LOCAIS DECENTES: RESTAURANTE LEBLON E O RRSTAURANTE E PIZZARIA SAMARINO. BEM NO CENTRO DA CIDADE NÃO TEM UM TESTAURANTE DE RESPONSA!	Espaço Amplo, Interatividade(Wifi-TV).	Ambiente confortável e tranquilo;Preço de acordo ao local	Não	6
2019/12/05 9:33:43 PM GMT-3	Masculino	18 a 24 anos	SIm	Acima de 20 reais	Praça 	Sim	Preço	Sim	Até 10 reais mais caro	Lazer 	Festa 	Atendimento rápido;Preço de acordo ao local	Sim	10
2019/12/05 10:09:30 PM GMT-3	Feminino	18 a 24 anos	SIm	Acima de 20 reais	Posto Samarino 	Considerando a realidade da cidade, sim.	Comida	Sim	Até 10 reais mais caro			Ambiente confortável e tranquilo	Não	7
2019/12/05 10:12:33 PM GMT-3	Feminino	18 a 24 anos	SIm	Acima de 20 reais	Boteco do Pedrão	Considerando a realidade da cidade, sim.	Espaço agradável	Sim	Acima de 15 reais mais caro	O ambiente/Variedade de comidas	Custo benefício	Ambiente confortável e tranquilo	Sim	5
2019/12/05 11:09:08 PM GMT-3	Masculino	18 a 24 anos	SIm	Acima de 20 reais	Espetinho	Considerando a realidade da cidade, sim.	Comida	Sim	Acima de 15 reais mais caro	Sabor ,tudo que é saboroso é bom  	Sabor	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local	Não	5
2019/12/05 11:33:04 PM GMT-3	Feminino	Acima de 40 anos	SIm	Entre 5 e 10 reais	Praça 	Não	Espaço agradável	Sim	Acima de 15 reais mais caro	Locais  de serviços 	Não tem	Ambiente confortável e tranquilo;Atendimento rápido;Conforto	Não	5
2019/12/05 11:34:10 PM GMT-3	Feminino	15 a 18 anos	SIm	Entre 15 e 20 reais	Praça	Considerando a realidade da cidade, sim.	Custo / Benefício	Não				Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Sim	7
2019/12/05 11:38:19 PM GMT-3	Feminino	18 a 24 anos	SIm	Entre 15 e 20 reais	Salgado de Ana, prox ao posto Sp	Não	Comida	Sim	Até 10 reais mais caro	Mais opções de locais 	Qualidade dos produtos	Ambiente confortável e tranquilo;Atendimento rápido;Variedade de produto	Não	5
2019/12/05 11:39:41 PM GMT-3	Feminino	24 a 40 anos	SIm	Acima de 20 reais	Posto samarino	Não	Preço	Sim	Acima de 15 reais mais caro	 Valor, atendimento, ambiente	Qualidade	Ambiente confortável e tranquilo	Não	4
2019/12/06 12:08:17 AM GMT-3	Masculino	18 a 24 anos	SIm	Acima de 20 reais	Açaí, Samarino e Pizza de 12	Não	Custo / Benefício	Sim	Acima de 15 reais mais caro	Qualidade nos produtos		Conforto	Não	5
2019/12/06 12:38:35 AM GMT-3	Masculino	18 a 24 anos	SIm	Acima de 20 reais		Não	Espaço agradável	Não	Acima de 15 reais mais caro			Variedade de produto	Não	1
2019/12/06 6:09:43 AM GMT-3	Feminino	24 a 40 anos	SIm	Acima de 20 reais	Pizzaria	Não	Comida	Sim	Acima de 15 reais mais caro	Limpeza, modo de atendimento de alguns estabelecimentos, infraestrutura pois em alguns lugares são precárias entre outras.	Em alguns lugares o atendimento.	Ambiente confortável e tranquilo;Preço de acordo ao local;Variedade de produto;Conforto	Não	4
2019/12/06 8:27:23 AM GMT-3	Masculino	18 a 24 anos	SIm	Acima de 20 reais	Pizza dois irmãos 	Considerando a realidade da cidade, sim.	Comida	Sim	Até 10 reais mais caro	Atendimento 	Sabor	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Não	7
2019/12/06 9:21:53 AM GMT-3	Feminino	24 a 40 anos	SIm	Entre 5 e 10 reais	Praça 	Não	Comida	Não	Até 10 reais mais caro	HAMBURGUER	 Gosto da barraca de gel o atendimento e bom	Ambiente confortável e tranquilo;Variedade de produto;Conforto	Não	1
2019/12/06 9:42:08 AM GMT-3	Feminino	24 a 40 anos	SIm	Acima de 20 reais	Ultimamamente em lugar nenhum	Considerando a realidade da cidade, sim.	Atendimento	Sim	Até 15 reais mais caro	Qualidade 🤷🏿‍♀️	Nem sei🤔	Atendimento rápido	Não	5
2019/12/06 12:14:05 PM GMT-3	Feminino	24 a 40 anos	SIm	Entre 15 e 20 reais	Igreja 	Considerando a realidade da cidade, sim.	Espaço agradável	Sim	Até 5 reais mais caro	qualidade e a higiene do local 	Nada	Ambiente confortável e tranquilo;Variedade de produto	Não	1
2019/12/06 4:32:41 PM GMT-3	Feminino	15 a 18 anos	SIm	Acima de 20 reais	Praça	Não	Comida	Sim	Até 10 reais mais caro	A qualidade dos alimentos, o preço, a variedade de alimentos	Só gosto do açaí	Variedade de produto	Não	5
2019/12/06 7:48:04 PM GMT-3	Feminino	24 a 40 anos	SIm	Entre 10 e 15 reais	Samarino	Não	Custo / Benefício	Sim	Até 10 reais mais caro	Qualidade em produtos	Diversidade de sabores	Ambiente confortável e tranquilo	Sim	5
2019/12/10 2:43:48 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 15 e 20 reais	Praça Rui Barbosa 	Não	Custo / Benefício	Sim	Acima de 15 reais mais caro	Um produto mais atrativo  e diferenciado dando a opção de comer algo que seja diferente do que todos já esperam .	Custo benefício  	Ambiente confortável e tranquilo;Variedade de produto	Sim	7
2019/12/10 7:06:52 PM GMT-3	Feminino	15 a 18 anos	SIm	Entre 15 e 20 reais	Praça 	Considerando a realidade da cidade, sim.	Custo / Benefício	Sim	Até 5 reais mais caro	Variedade 		Ambiente confortável e tranquilo;Preço de acordo ao local;Variedade de produto	Não	4
2019/12/10 8:52:08 PM GMT-3	Feminino	24 a 40 anos	SIm	Entre 10 e 15 reais	Açai	Sim	Custo / Benefício	Sim	Até 5 reais mais caro	Variedades 	Tempero	Atendimento rápido	Não	4
2019/12/11 10:10:30 PM GMT-3	Masculino	Acima de 40 anos	SIm	Acima de 20 reais	Churrascaria	Não	Espaço agradável	Sim	Acima de 15 reais mais caro	Qualidade	Sucos, moquecas de peixe	Ambiente confortável e tranquilo	Não	5
2019/12/17 2:53:55 PM GMT-3	Feminino	Até 15 anos	SIm	Entre 5 e 10 reais	Açaioca	Considerando a realidade da cidade, sim.	Comida	Sim	Até 15 reais mais caro	Mais opções	Preço, local e sabor 	Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Não	6
